time,temp
1727810293.712255,28.3
1727810293.8280864,24.1
1727810293.984221,24.1
1727810294.140565,29.1
1727810294.298072,29.1
1727810294.414331,25.8
1727810294.5799875,25.8
1727810294.694748,27.4
1727810294.8596056,27.4
1727810294.97591,29.8
1727810295.0895634,31.0
1727810295.2056663,31.0
1727810295.4362297,28.5
1727810295.5542135,28.5
1727810295.7159917,31.0
1727810295.833291,27.6
1727810295.9965196,27.6
1727810296.1137543,27.3
1727810296.2743561,27.3
1727810296.4465408,29.6
1727810296.6174984,29.6
1727810296.7336621,26.0
1727810296.896416,22.5
1727810297.0678205,22.5
1727810297.1844141,30.4
1727810297.301191,30.4
1727810297.4167068,32.7
1727810297.5326703,32.7
1727810297.6501737,29.4
1727810297.766464,29.4
1727810297.8829923,26.2
1727810297.999635,26.2
1727810298.1161995,27.2
1727810298.2306068,27.2
1727810298.3461344,27.9
1727810298.503354,27.9
1727810298.6609402,27.6
1727810298.7779255,27.6
1727810298.8957438,27.1
1727810299.0118518,27.1
1727810299.1850624,27.9
1727810299.2975914,27.9
1727810299.4549801,28.3
1727810299.5717216,29.0
1727810299.6863873,29.0
1727810299.8011267,29.0
1727810299.9143517,31.1
1727810300.0272117,31.1
1727810300.1944473,27.4
1727810300.350677,27.4
1727810300.5075343,23.9
1727810300.6206694,28.4
1727810300.7908714,28.4
1727810300.9467118,23.8
1727810301.1029525,23.8
1727810301.2598877,28.3
1727810301.4166448,27.8
1727810301.5303564,27.8
1727810301.643289,29.8
1727810301.8092852,29.8
1727810301.9219668,30.4
1727810302.034165,30.4
1727810302.1887732,25.1
1727810302.3004527,25.1
1727810302.4571567,30.6
1727810302.6167727,26.1
1727810302.7293642,26.1
1727810302.8839312,28.3
1727810303.041825,28.3
1727810303.2004013,28.1
1727810303.3120804,28.0
1727810303.4252183,28.0
1727810303.5368621,28.0
1727810303.7048805,28.6
1727810303.8218758,29.0
1727810303.9858568,29.0
1727810304.1412137,23.2
1727810304.2567115,23.2
1727810304.3733208,31.2
1727810304.4895308,31.2
1727810304.6498113,27.6
1727810304.761607,27.6
1727810304.9164,26.0
1727810305.0317495,26.0
1727810305.1976254,26.5
1727810305.3147361,28.1
1727810305.4758894,28.1
1727810305.5920668,24.8
1727810305.7591693,24.8
1727810305.8763635,29.3
1727810305.9918215,29.3
1727810306.1517217,25.6
1727810306.3132596,25.6
1727810306.484737,29.5
1727810306.6006293,27.6
1727810306.7175863,27.6
1727810306.8797328,26.5
1727810306.994283,26.5
1727810307.106581,27.7
1727810307.2596989,27.7
1727810307.3752563,29.7
1727810307.4920466,29.7
1727810307.6481838,25.1
1727810307.7658224,25.1
1727810307.8783689,25.6
1727810307.9912627,25.6
1727810308.1524022,25.4
1727810308.3142784,25.4
1727810308.4322515,27.5
1727810308.5960257,27.5
1727810308.7521045,26.7
1727810308.923268,28.8
1727810309.038318,28.8
1727810309.1950192,29.5
1727810309.3086007,29.5
1727810309.4252574,25.9
1727810309.5405538,25.9
1727810309.6541805,28.6
1727810309.8249073,28.6
1727810309.9436274,26.6
1727810310.0573323,26.6
1727810310.2233799,22.4
1727810310.3387735,23.0
1727810310.5055242,23.0
1727810310.619485,29.4
1727810310.736126,29.4
1727810310.8955455,26.6
1727810311.0539317,26.6
1727810311.1676931,28.9
1727810311.285012,28.9
1727810311.4567783,21.5
1727810311.5739923,25.0
1727810311.6906781,25.0
1727810311.8083615,25.0
1727810311.9245048,29.7
1727810312.084335,29.7
1727810312.2415981,27.4
1727810312.406698,24.7
1727810312.5249152,24.7
1727810312.6868749,27.2
1727810312.8435361,27.2
1727810312.9590154,25.9
1727810313.1261938,27.0
1727810313.2863114,27.0
1727810313.4571397,27.2
1727810313.6274037,28.4
1727810313.7429965,28.4
1727810313.8585782,27.4
1727810313.9713655,27.4
1727810314.1320016,28.2
1727810314.2898588,28.2
1727810314.4067116,30.5
1727810314.5788925,30.5
1727810314.6953511,27.6
1727810314.8125205,27.6
1727810314.9284275,26.3
1727810315.08543,26.3
1727810315.2007654,25.3
1727810315.3173954,26.6
1727810315.4783676,26.6
1727810315.636203,19.2
1727810315.793511,19.2
1727810315.9102077,26.7
1727810316.0652666,26.7
1727810316.1798542,25.0
1727810316.3503351,25.0
1727810316.511387,26.3
1727810316.624697,21.6
1727810316.79276,21.6
1727810316.9078715,27.6
1727810317.0681849,27.6
1727810317.2280185,28.1
1727810317.3450158,24.8
1727810317.5108628,24.8
1727810317.622638,28.9
1727810317.7351549,28.9
1727810317.846322,32.5
1727810318.012875,32.5
1727810318.1714497,25.6
1727810318.2836545,25.6
1727810318.4399283,28.5
1727810318.5525181,28.5
1727810318.6631696,27.5
1727810318.8196723,27.5
1727810318.9313838,23.7
1727810319.043106,23.7
1727810319.2016597,26.4
1727810319.313374,25.9
1727810319.4692385,25.9
1727810319.584612,28.0
1727810319.70057,28.0
1727810319.8168302,25.0
1727810319.987756,25.0
1727810320.1027973,29.0
1727810320.2725532,29.0
1727810320.3883808,25.3
1727810320.504381,25.3
1727810320.6165287,27.9
1727810320.7327657,27.9
1727810320.8994942,28.2
1727810321.0557897,28.2
1727810321.210832,30.3
1727810321.3712714,28.1
1727810321.4880254,28.1
1727810321.6451042,27.3
1727810321.8037474,27.3
1727810321.9685898,28.4
1727810322.1328819,26.9
1727810322.2934995,26.9
1727810322.410148,21.6
1727810322.565299,21.6
1727810322.6805632,27.3
1727810322.8474057,27.3
1727810322.9624717,26.7
1727810323.0777853,26.6
1727810323.2398124,26.6
1727810323.3569572,25.3
1727810323.4736688,25.3
1727810323.5906198,23.8
1727810323.7621627,23.8
1727810323.9187725,27.1
1727810324.0319548,27.1
1727810324.198546,27.9
1727810324.3550527,26.6
1727810324.4686913,26.6
1727810324.6368978,25.7
1727810324.7500548,25.7
1727810324.9192388,32.0
1727810325.0738986,32.0
1727810325.1898665,26.4
1727810325.3472078,26.4
1727810325.5045614,25.0
1727810325.6174493,27.3
1727810325.785312,27.3
1727810325.8989387,26.1
1727810326.0562634,26.1
1727810326.2268553,22.4
1727810326.343235,24.8
1727810326.505599,24.8
1727810326.6189194,22.7
1727810326.7345088,22.7
1727810326.8513262,26.9
1727810326.9675899,26.9
1727810327.1320372,25.2
1727810327.2889354,25.2
1727810327.4050467,27.2
1727810327.569184,27.2
1727810327.6841836,29.0
1727810327.8006952,29.0
1727810327.9572055,24.1
1727810328.0727656,26.8
1727810328.2398853,26.8
1727810328.3566196,25.6
1727810328.5278683,25.6
1727810328.6839147,30.0
1727810328.8549366,30.0
1727810329.0102541,29.0
1727810329.1681557,27.4
1727810329.28469,27.4
1727810329.4013705,24.9
1727810329.5621002,24.9
1727810329.7201266,27.2
1727810329.8901212,28.2
1727810330.0070126,28.2
1727810330.173544,24.3
1727810330.29011,24.3
1727810330.4530082,26.5
1727810330.5708625,24.1
1727810330.6858807,24.1
1727810330.8554676,24.1
1727810331.0272317,24.7
1727810331.1404912,29.5
1727810331.2563326,29.5
1727810331.3688512,24.8
1727810331.5319934,24.8
1727810331.6452448,26.6
1727810331.8122501,26.6
1727810331.9289541,25.1
1727810332.0455186,25.1
1727810332.2015023,24.7
1727810332.3168023,25.5
1727810332.4324949,25.5
1727810332.5863986,25.5
1727810332.703524,28.2
1727810332.819089,21.5
1727810332.9322176,21.5
1727810333.0455325,21.5
1727810333.21362,28.5
1727810333.329979,23.5
1727810333.4864306,23.5
1727810333.651993,24.9
1727810333.7649567,24.9
1727810333.8757005,28.7
1727810333.9873993,28.7
1727810334.09808,23.9
1727810334.25508,23.9
1727810334.4126956,27.2
1727810334.5256808,27.2
1727810334.6377456,23.1
1727810334.7927005,23.1
1727810334.9053035,24.3
1727810335.015844,24.3
1727810335.1285458,26.5
